"X","r_hn_true","r_hr_true","r_hn_err","r_hr_err","diff_hn","diff_hr","aic_hn_true","aic_hr_true","aic_hn_err","aic_hr_err"
147,7.51365391461727,6.91917993859898,7.89344895088866,7.84666860545386,0.379795036271393,0.927488666854876,220.116111355119,212.091414934419,221.308302085125,216.197030941517
148,8.20124734058136,7.01715567444218,8.5642831330709,7.75938846381211,0.363035792489537,0.742232789369928,201.676806808845,191.077577714225,203.015332939654,194.790830822521
149,6.81169091018865,6.85444866487174,7.22255669870649,7.58441711803468,0.410865788517836,0.729968453162933,207.799059678247,197.492921368565,209.024759062861,199.668101357148
150,8.29843666064505,6.47918999541999,8.69822487332837,7.08265093971515,0.399788212683321,0.603460944295163,228.480099982318,217.406510930234,227.920053667343,218.100532275318
151,7.17871747210753,5.69902212070273,7.45173713264629,6.15325401874979,0.273019660538766,0.454231898047055,218.894486411552,206.780199417546,220.632089459875,211.347513614684
152,7.48342928542667,6.94858966660661,7.75569084026469,7.25718645406497,0.272261554838017,0.30859678745836,225.736845445509,220.499853372132,228.034026151739,223.874845474183
153,8.07892345459636,6.26802003842172,8.33649402260607,6.84904869542506,0.25757056800971,0.58102865700334,237.917691306388,216.258171032208,237.15342243083,220.574866446722
154,7.25395425896589,6.42057434526608,7.44812479554741,6.84026043838178,0.194170536581522,0.419686093115708,223.612929886216,209.128015076988,224.906521371378,210.39412118434
155,9.99706021544079,6.66128183063593,10.260336780877,7.2437597140899,0.263276565436216,0.582477883453972,280.812228736645,255.383321354942,280.021324640932,258.228871436783
156,8.56496639418521,6.97328142271789,8.81445202626094,7.6115643701408,0.249485632075727,0.638282947422909,246.636803312753,228.768148257786,244.728748564075,230.643007011964
157,7.44873770536287,6.60626310978369,7.86579842132455,7.45809074428432,0.417060715961679,0.851827634500633,233.40057269317,224.900459414268,235.133824409596,228.667690296796
158,6.33747363157916,5.88456991180017,6.78082587760866,6.55609335300608,0.443352246029502,0.671523441205912,213.498524331203,204.184519177719,216.475003849944,208.179775366437
159,7.40719099518323,5.91785552429152,7.61728985870758,6.24664678335914,0.210098863524352,0.328791259067626,240.677899009123,220.795860298915,242.784362040197,224.958919708232
160,7.19569067422488,6.35135799904056,7.49732089731433,6.81079633984312,0.30163022308945,0.459438340802563,207.544481530164,189.328834335379,209.282573818025,193.483990876131
161,8.44239958860497,5.5608696572384,8.8089899718683,5.97132951086544,0.366590383263329,0.410459853627045,241.765012047097,209.60224972045,244.076071137164,214.344033851531
162,6.31519312876712,6.20566421406696,6.69418844252818,6.44754514951437,0.378995313761055,0.24188093544741,223.304746818135,217.776417412935,230.176080182928,226.159511844787
163,7.67269171852323,5.88827638463798,8.03818529574091,6.42547959069772,0.365493577217682,0.53720320605974,255.175091906815,224.73784700318,256.870635443966,229.215713392048
164,8.60149601163668,6.72039004170354,8.94541501371193,7.18049814224652,0.343919002075252,0.460108100542985,243.578607201158,228.859234274371,245.170797382096,233.213206167985
